epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.775,0.75896,3.32374,4.84963,0.01198,4.60628,0.00404,1,0.08883,0.05303,0.00404,1,0.092,0.05033,0.55025,2.25259,7.67725,0.01832,0,0.0002,0.0002,0.0002
2,39.1928,0.65276,2.03909,5.01429,0.01069,2.18705,0.00404,1,0.42952,0.3205,0.00404,1,0.4223,0.26136,0.50744,1.78061,7.57874,0.01664,0,0.000411684,0.000411684,0.000411684
3,57.6446,0.67783,1.53682,4.17287,0.01079,1.55141,0.00404,1,0.4492,0.32816,0.00404,1,0.44804,0.34372,0.49239,1.84308,7.51391,0.01575,0,0.000614656,0.000614656,0.000614656
4,75.8043,0.73597,1.30667,3.81552,0.01119,1.20638,0.00404,1,0.41608,0.3353,0.00404,1,0.4105,0.32092,0.66452,2.1719,7.52251,0.02248,0,0.000808916,0.000808916,0.000808916
5,94.0665,0.85494,1.32357,3.48021,0.01518,1.26423,0.00404,1,0.41825,0.33672,0.00386,0.95652,0.37647,0.22413,0.71615,2.67624,7.42193,0.02419,0,0.000994464,0.000994464,0.000994464
6,111.92,0.81661,1.31849,3.48446,0.01457,1.01271,0.00404,1,0.61106,0.45058,0.00386,0.95652,0.52463,0.35613,0.67541,2.3119,7.26915,0.02158,0,0.0011713,0.0011713,0.0011713
7,129.997,0.9884,1.41616,3.24893,0.01765,1.20439,0.82431,0.30435,0.64081,0.46315,0.82431,0.30435,0.59721,0.4122,0.90846,2.14171,7.02859,0.03133,0,0.00133942,0.00133942,0.00133942
8,147.922,0.94799,1.29765,3.20941,0.01698,1.03142,1,0.2626,0.63365,0.46699,1,0.2626,0.6303,0.45787,0.92006,2.00989,6.92959,0.03092,0,0.00149884,0.00149884,0.00149884
9,165.555,0.97982,1.28484,3.26199,0.02034,0.79695,0.8887,0.34725,0.72053,0.5094,0.8887,0.34725,0.75538,0.47994,0.96357,2.43495,6.19602,0.03081,0,0.00164954,0.00164954,0.00164954
10,182.68,0.85161,1.25822,3.14251,0.01506,0.8263,0.7287,0.46769,0.70268,0.42158,0.7287,0.46769,0.71036,0.40551,1.21539,2.4408,6.07989,0.04559,0,0.0016436,0.0016436,0.0016436
11,200.162,1.04622,1.12917,2.93708,0.01929,0.72456,0.7599,0.41369,0.61923,0.34087,0.66832,0.35062,0.60957,0.31779,1.19377,3.07468,5.94573,0.0424,0,0.001604,0.001604,0.001604
12,218.16,1.22741,1.3633,3.00204,0.02068,0.8826,0.5572,0.56522,0.67729,0.45216,0.6017,0.6087,0.73497,0.44561,1.23585,1.73327,5.33627,0.04322,0,0.0015644,0.0015644,0.0015644
13,236.303,1.01495,1.30662,2.52778,0.01839,0.75368,0.72177,0.78261,0.79514,0.30943,0.49043,0.6087,0.62031,0.3038,1.30034,2.15774,5.50489,0.04297,0,0.0015248,0.0015248,0.0015248
14,253.266,1.03237,1.0782,2.607,0.01874,0.83236,0.79175,0.69565,0.79925,0.38357,0.65307,0.86957,0.77855,0.35962,1.39686,1.74598,4.90922,0.04539,0,0.0014852,0.0014852,0.0014852
15,270.519,1.12303,1.20766,2.79593,0.02467,0.98202,0.72326,0.68222,0.77454,0.50423,0.72326,0.68222,0.71725,0.45773,1.11959,2.22377,4.55624,0.03927,0,0.0014456,0.0014456,0.0014456
16,287.658,0.96235,1.28401,2.17255,0.01909,0.73906,0.75116,0.78261,0.83792,0.528,0.77469,0.78261,0.80836,0.46727,1.03124,2.01254,4.34629,0.03448,0,0.001406,0.001406,0.001406
17,304.581,0.96352,0.97589,2.21774,0.01948,0.80328,0.78938,0.81512,0.79995,0.60411,0.78938,0.81512,0.79163,0.58226,1.12208,1.45989,3.69833,0.03753,0,0.0013664,0.0013664,0.0013664
18,321.81,1.03604,1.61162,2.31103,0.01843,1.26551,0.86224,0.81671,0.88914,0.62587,0.81631,0.77323,0.83025,0.58348,1.20227,1.69757,3.43762,0.04303,0,0.0013268,0.0013268,0.0013268
19,338.9,0.76701,0.94592,1.81702,0.01402,0.64324,0.88382,0.73913,0.84564,0.62427,0.88382,0.73913,0.84564,0.57245,1.15967,1.95808,3.37587,0.03978,0,0.0012872,0.0012872,0.0012872
20,355.941,0.93108,0.89493,2.09481,0.01666,0.88589,0.76485,0.78261,0.78272,0.56291,0.76485,0.78261,0.75892,0.53735,1.23137,1.60126,3.37819,0.04226,0,0.0012476,0.0012476,0.0012476
21,372.745,0.94547,1.182,2.08356,0.01688,0.83958,0.77626,0.90534,0.85343,0.58167,0.77626,0.90534,0.83356,0.5434,1.05632,1.67842,3.23353,0.03492,0,0.001208,0.001208,0.001208
22,390.437,0.91657,1.1663,2.00342,0.0155,0.75375,0.91539,0.73913,0.88743,0.61376,0.91539,0.73913,0.86936,0.57864,0.95977,1.69789,3.11176,0.03147,0,0.0011684,0.0011684,0.0011684
23,408.245,0.84845,0.87309,1.67069,0.01274,0.50562,0.82751,0.91304,0.91472,0.63077,0.82751,0.91304,0.91479,0.63118,1.03428,1.58313,2.91457,0.03373,0,0.0011288,0.0011288,0.0011288
24,425.246,0.85581,0.77978,1.61673,0.01551,0.47763,0.82199,0.86957,0.87897,0.53615,0.82199,0.86957,0.90646,0.58058,1.2754,1.56247,3.10655,0.04326,0,0.0010892,0.0010892,0.0010892
25,442.297,0.87827,0.90592,1.58571,0.0147,0.64748,0.85793,0.86957,0.89796,0.54128,0.85793,0.86957,0.89791,0.60645,1.60139,1.63765,2.87588,0.05654,0,0.0010496,0.0010496,0.0010496
